_d4399 		September +... 
_d4445 		Koala Mala walla !
_d4446 		baseball ? 
_d4446 		you're folding the clothes ? 
_d4446 		thank+you .
_d4446 		hey , these are Daddy's socks ! 
_d4446 		what are Daddy's socks doing with your socks ? 
_d4446 		yeah , that's Naima's sock . 
_d4446 		you're smelling it ? 
_d4446 		smells clean . 
_d4446 		let's [: let us] fold it up and put it where all the socks go . 
_d4446 		there , folding the socks , good . 
_d4446 		and this one's [: one is] Mommy's , but I don't know where the other one is .
_d4446 		oh , you have it . 
_d4446 		you had the other one ! 
_d4446 		that's Naima's , yeah . 
_d4446 		Naima's grey +//. 
_d4446 		that color is grey .
_d4446 		that color is called grey . 
_d4446 		and this color is +... 
_d4446 		yes . 
_d4446 		these socks are red , these socks are grey .
_d4446 		what color are these socks ? 
_d4446 		purple . 
_d4446 		these socks are blue .
_d4446 		these socks are purple . 
_d4446 		these socks are +... 
_d4446 		yeah ! 
_d4446 		these socks are grey . 
_d4446 		grey . 
_d4446 		okay , let's [: let us] put away Naima's clothes . 
_d4446 		let's [: let us] put them away where they belong . 
_d4446 		there they are . 
_d4446 		I see them right there . 
_d4446 		the grey ones are right there . 
_d4446 		yeah .
_d4446 		Mommy is getting Naima's clothing (.) cart . 
_d4446 		and bringing it over here so we can put the clothes inside . 
_d4446 		and look who's here !
_d4446 		yeah , the person . 
_d4446 		odd person ? 
_d4446 		I'm not so sure I'm up to playing the odd game with you . 
_d4446 		be careful on that bed , okay ?
_d4446 		that bed is not as safe as the other bed we had at home , at the old house . 
_d4446 		these are Naima's shirts .
_d4446 		those are some overalls that belong to Naima .
_d4446 		I'm gonna put your shirts here .
_d4447 		shorts , those are your shorts . 
_d4447 		I'm gonna put your suit there . 
_d4447 		I'm gonna put your overalls and suits here . 
_d4447 		and your long sleeve shirts here . 
_d4447 		those are overalls . 
_d4447 		you haven't worn those yet , have you ?
_d4447 		these are shirts .
_d4447 		Mommy's socks . 
_d4447 		purple , yeah .
_d4447 		here's the grey ones . 
_d4447 		you wanna hold the grey ones ? 
_d4447 		Miss  ?
_d4447 		you packed some ?
_d4448 		you're packing the grey ones away ? 
_d4448 		I'm +/.
_d4448 		right here .
_d4448 		letter i . 
_d4448 		that's the letter i .
_d4448 		hey , what's the letter i doing on the floor in your room ? 
_d4448 		is it trying to hide ? 
_d4448 		xxx .
_d4448 		need the clown to get it ?
_d4448 		I don't think we really need the clown to get it . 
_d4448 		Daddy put your crib together for you .
_d4449 		oh really ? 
_d4449 		gorilla walla dalla ?
_d4449 		what do gorillas eat , by the way ?
_d4449 		do gorillas eat cheese sandwiches ? 
_d4449 		do gorillas eat +...
_d4449 		almond butter ?
_d4449 		no: .
_d4449 		what do gorillas eat ?
_d4450 		they eat hay ? 
_d4450 		they might . 
_d4450 		do gorillas eat oranges ?
_d4450 		okay , those wipes I don't want you to have , okay ?
_d4450 		those are for Mommy to have . 
_d4450 		what +/?
_d4450 		what , what do ducks eat ? 
_d4450 		water , they eat water . 
_d4450 		I'm sure they drink some water .
_d4450 		and what else ? 
_d4450 		pay something ? 
_d4450 		o:h , are you taking the nice folded pajamas and fooling around with them , that I fo:lded already ? 
_d4450 		Mommy had folded them . 
_d4450 		o:h , Naima .
_d4450 		those are your new pajamas . 
_d4450 		I'm gonna put all the pajamas here , where the diapers are , okay ? 
_d4450 		no climbing on that please . 
_d4450 		please [x 
_d4450 		please cheese .
_d4451 		you're closing something ? 
_d4451 		oh , okay . 
_d4451 		oh , under the crib . 
_d4451 		here it is .
_d4451 		let's [: let us] see . 
_d4451 		what have I done wrong here ?
_d4451 		Naima , no , you cannot step on that .
_d4451 		that's not okay . 
_d4451 		no: , no no no . 
_d4451 		that's not a toy , though .
_d4451 		yes , they're for Mommy to use when I wipe your bottom .
_d4451 		and here's a hair elastic , you can keep it in your pocket .
_d4451 		and here's the socks . 
_d4451 		what happened to the red socks ?
_d4451 		didn't I +//? 
_d4451 		didn't we have some red socks ?
_d4451 		did you put them somewhere ? 
_d4451 		grey is here .
_d4451 		Miss Boo . 
_d4451 		oh , there were many glues (.) at the library .
_d4451 		yeah , and we saw  there .
_d4452 		yeah , and there was a+lot of glue . 
_d4452 		glue on your legs ? 
_d4452 		mmmm . 
_d4452 		you're cleaning , over there ? 
_d4452 		what are you cleaning over there ? 
_d4452 		yeah , I saw that . 
_d4452 		London Bridge is falling down , falling down , falling down .
_d4452 		London Bridge is falling down , my fair lady . 
_d4452 		I lost my watch +/.
_d4452 		Luna doggy ? 
_d4452 		we did see Luna doggy the other day .
_d4452 		yeah , Luna was going home .
_d4452 		that's right .
_d4452 		lost my watch and broke my chain , broke my chain , broke my chain . 
_d4452 		I lost my watch and broke my chain , my fair lady . 
_d4452 		lady bady dady ?
_d4453 		lady bady bady . 
_d4453 		yeah . 
_d4453 		xxx .
_d4453 		you're gonna fold that over there ? 
_d4453 		okay . 
_d4453 		xxx . 
_d4453 		xxx , my fair lady . 
_d4453 		doodle doodle doodle bug . 
_d4453 		are you a doodle bug ?
_d4453 		yes , you are . 
_d4453 		doodle bug , doodle bug , doodle doo(dle) +//. 
_d4453 		let's [: let us] close those .
_d4453 		doodle doodle doodle bug +/.
_d4453 		let's [: let us] leave those there , okay ? 
_d4453 		thank+you . 
_d4453 		ooh , you okay , Boo ?
_d4453 		here , fold this towel .
_d4453 		I need you to help fold this towel . 
_d4453 		okay ? 
_d4453 		thank+you . 
_d4453 		xxx .
_d4453 		what's the matter ?
_d4453 		yeah , I think I'll put these over here now .
_d4454 		are you folding that , too ? 
_d4454 		okay , I'm putting the shorts here . 
_d4454 		I'll take that towel .
_d4454 		now we should go back to Mommy and Daddy's room because I have some clothes to hang up . 
_d4454 		let's [: let us] go there . 
_d4454 		let's [: let us] go to Mommy and Daddy's room now . 
_d4454 		kay [: okay] ? 
_d4454 		can we go ? 
_d4454 		xxx . 
_d4454 		whoa: , there she goes !
_d4454 		you were running . 
_d4454 		I see your sock on the floor . 
_d4454 		you lost a sock , Boo ! 
_d4454 		you lost a so:ck !
_d4454 		oh , dear .
_d4454 		oh , dear .
_d4455 		here , see ? 
_d4455 		this is the one that belongs on that foot .
_d4455 		you have a naked foot there . 
_d4455 		yea:h [: yes] .
_d4455 		it is naked . 
_d4455 		here , I'm gonna put this in the linen closet , then I'm coming right back .
_d4455 		pitter patter pitter patter pitter patter pitter patter ! 
_d4455 		boy , that dryer is very loud . 
_d4455 		can you come back here please ?
_d4455 		you want me to put that other sock on for you ? 
_d4455 		let's [: let us] get some hangers so I can hang all these things . 
_d4455 		yeah , these are hangers . 
_d4455 		I'm getting hangers . 
_d4455 		I'm going to hang these shirts there . 
_d4455 		here's the odd person .
_d4455 		oh , you're gonna play dominos with  ? 
_d4455 		be careful there .
_d4456 		Mommy's [: Mommy is] here . 
_d4456 		lost my watch and broke my chain . 
_d4456 		broke my chain , broke my chain . 
_d4456 		I lost my watch and broke my chain , my fair lady . 
_d4456 		lady bady dady .
_d4456 		are you being careful getting down (.) safely ?
_d4456 		yeah , I'm using hangers now . 
_d4456 		come to prison you must go . 
_d4456 		you must go .
_d4456 		rats ? 
_d4456 		oh , watch .
_d4456 		lost my watch and broke my chain , broke my chain , broke my chain , I lost my watch and broke my chain , my fair lady . 
_d4456 		yes , merrily +/.
_d4456 		we roll along .
_d4456 		roll along , roll along . 
_d4456 		clunk !
_d4456 		merrily we roll along +... 
_d4456 		my fair la:dy: . 
_d4456 		lady bady dady .
_d4456 		xxx .
_d4457 		broke my chain . 
_d4457 		lost my watch and broke my chain . 
_d4457 		hello , Miss Boo . 
_d4457 		you broke your chain ! 
_d4457 		xxx have a chain to break . 
_d4457 		are you wearing a watch on a chain ? 
_d4457 		that's very old fashioned of you . 
_d4457 		xxx . 
_d4457 		now , let's [: let us] get that other sock on finally . 
_d4457 		Naima , you're in the closet .
_d4457 		come back here . 
_d4457 		I see you in there . 
_d4457 		yeah , the vacuum cleaner's [: cleaner is] in there too . 
_d4457 		you saw the vacuum +/?
_d4457 		xxx  uses the vacuum cleaner .
_d4457 		here .
_d4457 		what is this , pray tell ?
_d4457 		come here , let's [: let us] get your sock on .
_d4457 		I need a naked foot . 
_d4457 		where's the naked foot ? 
_d4457 		yes , come over here so I can +... 
_d4457 		Naima .
_d4457 		come here please . 
_d4457 		come here so I can put the sock on .
_d4457 		careful !
_d4458 		there , okay . 
_d4458 		it's all+right , you're all+right . 
_d4458 		it's okay .
_d4458 		coming back ? 
_d4458 		coming back to Mommy ? 
_d4458 		coming back to Mommy: who the sock (.) on her head . 
_d4458 		where's the sock ? 
_d4458 		I'll have_to go look for it .
_d4458 		is it in the bathroom ? 
_d4458 		is it in the kitchen ?
_d4458 		is it in your pocket , Naima ? 
_d4458 		come here please . 
_d4458 		Mommy would like you to come here , now .
_d4458 		Mommy would like you to come here right now . 
_d4458 		thank+you ! 
_d4458 		o:h ,  .
_d4458 		you are sitting . 
_d4458 		person sitting there , too ? 
_d4458 		mmmm .
_d4458 		hey , let's [: let us] fold these rags . 
_d4458 		fold these rags .
_d4458 		that person doesn't have any socks because that person doesn't even have any feet . 
_d4458 		and what is that ? 
_d4458 		okay , you're gonna help fold ? 
_d4458 		that's good . 
_d4458 		let's [: let us] fold them and put them in a pile . 
_d4458 		like we had the goldenrod in the pile when we were digging it up together ? 
_d4458 		thank+you . 
_d4458 		okay . 
_d4458 		Mommy was digging the goldenrod the other day and made a pile of the goldenrod . 
_d4458 		we put goldenrod on top of goldenrod and made a big pile of it . 
_d4458 		oh , good job . 
_d4458 		thank+you .
_d4458 		thank+you , sweetie pie .
_d4458 		oh great , thanks , honey . 
_d4458 		honey , thanks , sweetie pie . 
_d4458 		I'm folding the rags . 
_d4458 		you have been making so many rhymes this week . 
_d4458 		with people's names especially .
_d4458 		xxx  . 
_d4458 		and   .
_d4458 		what is Mommy's name ? 
_d4458 		xxx .
_d4458 		Mommy pommy dommy ? 
_d4458 		xxx  . 
_d4458 		dinosaur ? 
_d4458 		xxx  dinosaur ? 
_d4458 		xxx had a stuffed dinosaur . 
_d4458 		that little boy we visited yesterday . 
_d4458 		his name is  . 
_d4458 		what ? 
_d4458 		xxx his mommy . 
_d4458 		oh , you know what else you said this morning that I thought was interesting ? 
_d4458 		you said , you said Daddy's [: Daddy is] a man , Mommy's [: Mommy is] a woman . 
_d4458 		didn't you say that this morning ? 
_d4458 		I was surprised that you said that . 
_d4458 		right here .
_d4459 		ooh ooh . 
_d4459 		uh+oh ! 
_d4459 		uh+oh . 
_d4459 		the person , I don't see the person .
_d4459 		the person is hidden . 
_d4459 		the person is hidden , cause I don't see the person . 
_d4459 		everywhere ?
_d4459 		Naima throwing the person ? 
_d4459 		where did you throw the person ?
_d4459 		nursies are in , in there .
_d4459 		yeah .
_d4459 		you wanna nurse now ?
_d4460 		okay , let's [: let us] go in the living room and nurse . 
_d4460 		well let's [: let us] take off the microphones and then we can go in the living+room and nurse there , okay ? 
_d4460 		yeah , hold on , hold on , Mommy will do it .
_d4460 		Mommy will do it . 
_d4460 		Mommy and Daddy's room , yeah , that's where we are . 
_d4460 		whoa ,  . 
_d4460 		clunk ! 
_d4460 		are you lying down ? 
_d4460 		that's not very comfortable . 
_d4460 		let's [: let us] get this thing off of you . 
_d4460 		offa [: off of] you . 
_d4460 		yours is off , yeah . 
_d4460 		I will take mine off too . 
_d4461 		n' [: and] that's plugged in there , n' [: and] that's plugged in there +... 
_d4461 		there now it's green . 
_d4461 		just needed a little jiggling . 
_d4461 		jiggling .
_d4461 		xxx jiggling . 
_d4461 		what're you having for breakfast my dear ? 
_d4461 		what're you having for breakfast ?
_d4461 		Mommy is putting on her micropho:ne ! 
_d4461 		yeah .
_d4461 		you have it too . 
_d4461 		toda:y is Saturday October fifth . 
_d4461 		a:nd the last time +...
_d4461 		we recorded was +... 
_d4461 		Monday October +//.
_d4461 		Monday September twenty third , so it has been +... 
_d4461 		two weeks minus a few days . 
_d4461 		unfortunately . 
_d4461 		more blueberries now +//.
_d4461 		are you just pickin [: picking] out the blueberries n' [: and] eating them n' [: and] not eating the porridge ? 
_d4461 		blowing on the porridge .
_d4462 		what are ya doing ? 
_d4462 		what're [: what are] ya doing ? 
_d4462 		what else are ya [: you] doing besides sitting ? 
_d4462 		whoa !
_d4462 		were ya [: you] gonna have it with yer [: your] spoon ?
_d4462 		shall we put some (.) wheat , on it ? 
_d4462 		mmmm . 
_d4462 		oh is that good applesauce it looks like it .
_d4462 		mmmm . 
_d4462 		oh you're putting it in the bowl . 
_d4462 		yummy: .
_d4462 		mmmm . 
_d4462 		what a good breakfast . 
_d4462 		camera . 
_d4462 		the camera's on .
_d4462 		it's +//.
_d4462 		recording .
_d4462 		what're you eating for breakfast this morning . 
_d4462 		or not eating as the case may be . 
_d4462 		you don't want the porridge huh ? 
_d4462 		there's lots_of yummy blueberries in it . 
_d4462 		oops . 
_d4462 		oops . 
_d4462 		Mommy spilled porridge (.) on the floor . 
_d4462 		exactly .
_d4462 		oh dear .
_d4462 		oh dear . 
_d4462 		Mommy's washing her ha:nds which had the spilled porridge on them . 
_d4462 		I did dry my hands . 
_d4462 		well , what else will you have do you want some toast ? 
_d4462 		no ?
_d4462 		you want something else ? 
_d4462 		yeah ? 
_d4462 		how bout [: about] kamut with almond butter on it ? 
_d4462 		you're just spitting out everything in here . 
_d4462 		you know what +//.
_d4462 		let's +//.
_d4462 		I'll just give you some applesauce by itself okay ? 
_d4462 		there's no point eating that n' [: and] then spitting it all out . 
_d4462 		yeah , I'm gonna give you kamut too .
_d4462 		so many rhymes .
_d4462 		you are making so many rhymes . 
_d4462 		hmmm . 
_d4462 		how bout [: about] kamut with almond+butter n' [: and] apple+butter on it . 
_d4462 		mmmm: ! 
_d4462 		I'm putting the ,  +...
_d4462 		apple +//.
_d4462 		almond+butter , on the kamut . 
_d4462 		and I will also put apple+butter on the kamut .
_d4462 		I am .
_d4462 		see ? 
_d4462 		I am putting almond+butter on it . 
_d4462 		mmmm . 
_d4462 		you want apple+butter also ? 
_d4462 		yeah . 
_d4462 		Mommy is making breakfast for Naima .
_d4462 		to eat , exactly .
_d4462 		to eat ,    . 
_d4462 		cutting kamut .
_d4462 		kamut . 
_d4462 		crunch ! 
_d4462 		crunch crunch crunch . 
_d4463 		more kamut with almond+butter ? 
_d4463 		let's get yer [: your] little plate out . 
_d4463 		lemme [: let me] see if it's in the dishwasher . 
_d4463 		did I run this last night ?
_d4463 		yes I did run this last night . 
_d4463 		mmmm kay [: okay] ,  . 
_d4463 		I'm cutting up the piece of kamut with almond+butter and apple+butter on it . 
_d4463 		for you to eat . 
_d4463 		see ? 
_d4463 		mmmm .
_d4463 		dog a bone song ? 
_d4463 		sound .
_d4463 		this old man . 
_d4463 		he had +... 
_d4463 		you like that huh ? 
_d4463 		xxx . 
_d4463 		dog a bone song .
_d4463 		sound , are you saying dog a bone sound ?
_d4464 		hmmm . 
_d4464 		hmmm: . 
_d4464 		said the dog ? 
_d4464 		yes +//.
_d4464 		oh didjou [: did you] see the dog this morning when you got the paper with Daddy ? 
_d4464 		was he out there ? 
_d4464 		yep [: yes] .
_d4464 		outdoors . 
_d4464 		sometimes we see Tahoe in the morning . 
_d4464 		he's a puppy . 
_d4464 		he's not very tiny but he is a puppy . 
_d4464 		you saw the dog outside ?
_d4464 		his name is Tahoe .
_d4464 		he's outdoors .
_d4464 		he likes to stay outdoors . 
_d4464 		sometimes . 
_d4464 		Tahoe . 
_d4464 		he's a puppy .
_d4464 		what is he doing when he's +//.
_d4464 		we see him outside ? 
_d4464 		when we see him there what is he doing usually ? 
_d4464 		he's outdoors , yeah .
_d4465 		mmmm+hmmm . 
_d4465 		outside . 
_d4465 		Tahoe +//.
_d4465 		Tahoe . 
_d4465 		Tahoe ! 
_d4465 		he's usually wagging his tail , n' [: and] looking to say hello to people . 
_d4465 		he likes to say hello: ! 
_d4465 		he doesn't really bark very much though . 
_d4465 		actually . 
_d4465 		he's a quiet kind of a doggie .
_d4465 		Tahoe .
_d4465 		ye:s , wagging his tail .
_d4465 		he does wag his tail .
_d4466 		Mommy's cracking open some eggs . 
_d4466 		I'm opening eggs . 
_d4466 		Tahoe is his name . 
_d4466 		yeah , he's a puppy+dog .
_d4466 		he's a young dog . 
_d4466 		young dog . 
_d4466 		hi Tahoe . 
_d4466 		he's a puppy that's right .
_d4466 		he: is a puppy . 
_d4466 		yeah .
_d4466 		he stays outdoors . 
_d4466 		a lot of the time he stays outdoors . 
_d4466 		well actually he stays indoors most of the time , but +... 
_d4466 		sometimes +... 
_d4466 		he gets to go outdoors . 
_d4466 		where he can +... 
_d4466 		watch the squirrel:s and , eat leaves for fun and , see the people +... 
_d4466 		and see cars n' [: and] trucks go by . 
_d4466 		and +...
_d4466 		and see motorcycles , quite possibly !
_d4466 		and see men , yep [: yes] .
_d4466 		and if a man goes by he'll see a man , n' [: and] if people go by like Naima n' [: and] Mommy +... 
_d4466 		he likes to come n' [: and] see: us +... 
_d4466 		see what we're doing . 
_d4466 		what ? 
_d4466 		what are you eating ?
_d4466 		oh goo:d .
_d4466 		that's +//.
_d4466 		outdoors ?
_d4466 		the dog outside yep [: yes] .
_d4466 		member [: remember] his name , what's his name ?
_d4467 		we just talked about it . 
_d4467 		Tahoe .
_d4467 		yea:h [: yes] !
_d4467 		outdoors , is right . 
_d4467 		he probably +//.
_d4467 		oh yes I bet he likes to see squirrels .
_d4467 		I bet he likes that a lot . 
_d4467 		okay . 
_d4467 		Tahoe .
_d4467 		didjou [: did you] see him when you got the newspaper with Daddy this morning ?
_d4468 		was he outdoors this morning ? 
_d4468 		Naima I'm gonna grind some cinnamon so this is gonna [: going to] be very noisy . 
_d4468 		kay [: okay] , watch out . 
_d4468 		it's okay it's okay . 
_d4468 		this is like grinding coffee beans . 
_d4468 		did Daddy grind the coffee beans this morning ? 
_d4468 		when you made coffee with him ? 
_d4468 		or did you help him ? 
_d4468 		yes .
_d4468 		I am cooking . 
_d4468 		dyou [: do you] eat french toast sometimes ? 
_d4468 		yeah , it's +//.
_d4468 		when it's all done cooking I'm gonna give you some to eat .
_d4468 		it will be hot , but I'll blow on it . 
_d4468 		very hot , yep [: yes] .
_d4468 		and then we'll blow on it and it will get warm . 
_d4468 		that's right . 
_d4468 		mmmm: .
_d4468 		you know you have more ,  , almond+butter and apple+butter and kamut here to eat . 
_d4468 		mmmm .
_d4468 		wouldju [: would you] like that ? 
_d4468 		mmmm crunchy isn't it ? 
_d4468 		mmmm , crunchy . 
_d4468 		Tahoe . 
_d4468 		mmmm , mmmm+hmmm .
_d4468 		he likes the outdoors . 
_d4468 		I think he likes to stay +//.
_d4468 		yea:h [: yes] , he can see squirrels outdoors +...
_d4468 		mmmm+hmmm .
_d4468 		what animal did we see outdoors yesterday ?
_d4469 		well we did see him but what other animal did we see outdoors yesterday ? 
_d4469 		ye:s !
_d4469 		we saw a fox in our +//.
_d4469 		where was the fox ?
_d4469 		going down the driveway , yes !
_d4469 		that fox was going down the driveway . 
_d4469 		the fox was looking for acorns ?
_d4469 		I wonder what foxes eat , you know what we should find out what they eat . 
_d4469 		we know that squirrels eat acorns . 
_d4469 		we know that .
_d4469 		squirrels eat ro:cks ? 
_d4469 		no: .
_d4469 		what do gorillas eat ?
_d4470 		hay , I think they probably do eat hay . 
_d4470 		and squirrels eat acorns , yeah .
_d4470 		they do: ? 
_d4470 		I don't think so .
_d4470 		squirrels eat lambs ? 
_d4470 		no .
_d4470 		eat what ? 
_d4470 		squirrels eat ducklings ? 
_d4470 		no: .
_d4470 		what am I doing , I'm cooking the french+toast_a . 
_d4470 		and then I'll blow on it when it's done so that you can have some .
_d4470 		so it will cool down right ? 
_d4470 		cool down ? 
_d4470 		what does Naima eat ? 
_d4470 		Naima eats french+toast_a . 
_d4470 		it's going to be done ?
_d4470 		it's not quite done yet . 
_d4470 		actually there is a little bit that's done . 
_d4470 		you could have some of this +... 
_d4470 		I'll blow on it now . 
_d4470 		there's some french+toast_a ri:ght there , it's going to be warm . 
_d4470 		he's in the bedroom putting on his clothes . 
_d4470 		he took a shower I think . 
_d4470 		how is the french+toast_a is it good ? 
_d4470 		but you didn't even eat +//.
_d4470 		oh you did eat it .
_d4470 		oka:y . 
_d4470 		Mommy's gonna cut some more for Naima to eat . 
_d4470 		I am blowing on it .
_d4470 		you want a little apple+butter on it ? 
_d4470 		there . 
_d4470 		yep [: yes] .
_d4470 		something smells good ,  doing ? 
_d4470 		making french+toast_a . 
_d4470 		want a piece ? 
_d4470 		huh ?
_d4470 		dyou [: do you] want a piece ? 
_d4470 		I guess , hard to resist . 
_d4470 		xxx gotta gobble it down and run . 
_d4470 		o:h .
_d4470 		you want some too ? 
_d4470 		Naima wants a piece . 
_d4470 		she's been eating it . 
_d4470 		o:h . 
_d4470 		are you eating french toast ? 
_d4470 		boy .
_d4470 		you want some more again ? 
_d4470 		you're eating it right up . 
_d4470 		let's put a little almond+butter on it for you . 
_d4470 		and apple+butter . 
_d4470 		mmmm , french toast with almond+butter and apple+butter ? 
_d4470 		it's quite warm . 
_d4470 		Daddy's getting his french toast . 
_d4470 		didjou [: did you] call in ? 
_d4470 		yeah . 
_d4470 		didjou [: did you] see Tahoe when you went to get the newspaper ? 
_d4470 		who's Tahoe ? 
_d4470 		who's Tahoe Naima ? 
_d4470 		who's Tahoe ?
_d4470 		Daddy's asking ? 
_d4470 		who's Tahoe ? 
_d4470 		xxx .
_d4470 		who is it ? 
_d4470 		she calls him Tahoe_a .
_d4470 		Tahoe_a ? 
_d4470 		who's that ? 
_d4470 		is that +//.
_d4470 		is that a dog ? 
_d4470 		or a cat ? 
_d4470 		or a fox .
_d4470 		no: , well who's Tahoe ? 
_d4470 		tell +//.
_d4470 		tell Daddy , he doesn't know Tahoe .
_d4470 		outdoors ?
_d4470 		but who is he ? 
_d4470 		Daddy doesn't know . 
_d4470 		oh a puppy ! 
_d4470 		is he a puppy +//.
_d4470 		is he the neighbor's puppy ? 
_d4470 		mmmm . 
_d4470 		Will ,  you met the neighbor ? 
_d4470 		I told you , I met him just once . 
_d4470 		the guy down here in the small house . 
_d4470 		yeah , to the left .
_d4470 		sometimes he put +//.
_d4470 		ties the dog up outside . 
_d4470 		well , so what's the story is he the guy who , like is converting this to a year round  . 
_d4470 		right .
_d4470 		which I think must be mostly done . 
_d4470 		not sure the heating system is  . 
_d4470 		who does Tahoe live with , dyou [: do you] remember his name ? 
_d4470 		yeah Tahoe the puppy lives with Will .
_d4470 		is the man who lives down there . 
_d4470 		his name is Will . 
_d4470 		mmmm . 
_d4470 		oh okay .
_d4470 		this baby likes french+toast_a . 
_d4470 		she does . 
_d4470 		she hasn't always . 
_d4470 		mmmm . 
_d4470 		Tahoe . 
_d4470 		hmmm he likes being outdoors I think , Tahoe . 
_d4470 		xxx that too warm ? 
_d4470 		it's a little bit warm . 
_d4470 		yeah .
_d4470 		Tahoe .
_d4470 		yeah .
_d4470 		didjou [: did you] call and find out there were a lot of patients ? 
_d4470 		uh no . 
_d4470 		I just called to tell em [: them] I'd (.) be twenty more minutes . 
_d4470 		mmmm .
_d4470 		well I guess it is  . 
_d4470 		xxx who is it ? 
_d4470 		some guy I don't know . 
_d4470 		mmmm yeah ?
_d4470 		a new crop of fellows from the  . 
_d4470 		oh really ?
_d4470 		xxx even  now , there's a joint program now . 
_d4470 		hmmm . 
_d4470 		for  , so +...
_d4470 		oh yeah . 
_d4470 		so I got an appointment for a follow+up visit with  , in November .
_d4470 		yeah .
_d4470 		xxx .
_d4470 		what ? 
_d4470 		that was part of the mail .
_d4470 		oh I didn't see it . 
_d4470 		hmmm .
_d4470 		xxx . 
_d4470 		schedule .
_d4470 		check the date , and see if it's a Tuesday . 
_d4470 		probably not . 
_d4470 		I'll have another if there is another . 
_d4470 		hot . 
_d4470 		so +//.
_d4470 		Mommy was putting the milk back in the refrigerator .
_d4470 		boy these guys are real temperature freaks .
_d4470 		huh ?
_d4470 		oh I know .
_d4470 		who's numma+numma ?
_d4470 		who's that ?
_d4470 		mmmm with  putting some +//. 
_d4470 		ye:s , I'm putting +...
_d4470 		you're having french toast with almond+butter ? 
_d4470 		oh my god .
_d4470 		and apple+butter too .
_d4470 		egg ?
_d4470 		oh , that's butter that's not egg .
_d4470 		I don't have egg . 
_d4470 		mmmm , that looked like an egg , that was butter . 
_d4470 		that's butter Mama's eating . 
_d4470 		Mama's having french toast too .
_d4470 		there's no egg here . 
_d4470 		no that's not egg .
_d4470 		did she say that's egg ? 
_d4470 		yeah .
_d4470 		finish yer [: your] french+toast_a , looks yummy . 
_d4470 		you know there's egg in the french toast . 
_d4470 		mmmm .
_d4470 		you saw me break the eggs , right ? 
_d4470 		the french toast has egg in it , Naima . 
_d4470 		mmmm .
_d4470 		there's egg in it . 
_d4470 		it's hard to +... 
_d4470 		see it go in but not see it like scrambled eggs I think . 
_d4470 		yeah .
_d4470 		mmmm ! 
_d4470 		is that yummy french toast ? 
_d4470 		oh okay . 
_d4470 		more everything .
_d4470 		there is almond+butter on it .
_d4471 		well Daddy +... 
_d4471 		hopes to be home at a decent hour . 
_d4471 		and that would be ? 
_d4471 		after rounds , twelve+thirty one . 
_d4471 		then I got a ton a work , but +... 
_d4471 		xxx try to do it . 
_d4471 		no you eat that okay ?
_d4471 		tomorrow  .
_d4471 		I have some food . 
_d4471 		then , tonight or tomorrow night while you guys are (.) sleeping or something .
_d4471 		we should be back from the old house then . 
_d4471 		mmmm , well check in with me cause [: because] maybe we can +... 
_d4471 		mmmm .
_d4471 		snack outside . 
_d4471 		mmmm+hmmm . 
_d4471 		uh , is the open house today or tomorrow ?
_d4471 		tomorrow .
_d4471 		I hope I have that right . 
_d4471 		Tahoe_a ? 
_d4471 		and the  +//.
_d4471 		we need to sort of inspect the  and  they must be done by now  ? 
_d4471 		yeah I haven't been over there in a few days .
_d4471 		hmmm .
_d4471 		outdoors ?
_d4471 		we're gonna go to the old house today . 
_d4471 		Mommy and Naima . 
_d4471 		are gonna visit the old house today . 
_d4471 		Daddy wants to see that but maybe +...
_d4471 		it's not possible . 
_d4471 		could go tomorrow .
_d4471 		Daddy's going to work now baby+o . 
_d4471 		I'm going to the office +//.
_d4471 		I'm going to the hospital , actually .
_d4471 		mmmm , that's the other place he works remember ? 
_d4471 		they do say ooh and  . 
_d4471 		bye .
_d4471 		yes ? 
_d4471 		yeah woman say ooh and  what a cute baby , that Naima is a very cute baby , that's what they say .
_d4471 		and they wanna squee:ze you , they wanna squeeze Naima and give you kisses . 
_d4471 		I know , it's kinda [: kind of] funny isn't it . 
_d4471 		that's a stethoscope .
_d4471 		xxx did find one . 
_d4471 		you did ? 
_d4471 		I think I put it in my car to take to you . 
_d4471 		oh .
_d4471 		well  .
_d4471 		I'm goin(g) in the car , in fact I'm going right now cause [: because] I'm getting late .
_d4471 		in my , look in the front of my +... 
_d4471 		yeah I haven't heard ya [: you] say that before , hospital .
_d4471 		haven't heard it either . 
_d4471 		hospital , yeah . 
_d4471 		he's going to the hospital .
_d4471 		that's where I'm going . 
_d4471 		we went there once there's a cafeteria there . 
_d4471 		go see people .
_d4471 		remember the cafeteria ?
_d4471 		lots_of people . 
_d4471 		lo:ts of people . 
_d4471 		the cafeteria was +//.
_d4471 		kay [: okay] , bye  . 
_d4471 		bye .
_d4471 		bye baby .
_d4471 		kiss kiss , bye bye .
_d4471 		bye .
_d4471 		in the (.) hospital , yep [: yes] . 
_d4471 		in the +//.
_d4471 		it's wa:rm and windy outside . 
_d4471 		huh .
_d4471 		warm and windy . 
_d4471 		Daddy +//?
_d4471 		he saw outside ?
_d4471 		Daddy went outside . 
_d4471 		he's going to get into his car . 
_d4471 		and drive to the hospital . 
_d4472 		mmmm dyou [: do you] like the french toast ? 
_d4472 		hmmm . 
_d4472 		right +//.
