_t4 		okay this tape is being recorded with the receiver plugged into the socket labeled mic . 
_t4 		she came to the play+ground . 
_t4 		there was a dog at the play+ground yesterday , that's right . 
_t4 		and he said woof woof . 
_t4 		and there were lots_of babies there too , right ? 
_t4 		slide . 
_t4 		and you went down the sli:de ! 
_t4 		xxx .
_t4 		wee .
_t4 		you went down the slide . 
_t4 		mmmm .
_t4 		umbrella . 
_t4 		at  house we saw the table had an umbrella on it . 
_t4 		right ? 
_t4 		you th(ought) +//.
_t4 		you thought it was a flag at first , but then we told you it was an umbrella .
_t4 		on the table . 
_t4 		then we said bye+bye to her .
_t4 		that's right . 
_t4 		we said bye+bye  . 
_t4 		more wheat , okay .
_t4 		you're making crunchy noises . 
_t4 		crunchy noises . 
_t4 		mmmm , there's wheat in your hand . 
_t4 		you want me to have it , okay , thank you .
_t4 		xxx . 
_t4 		what else happened yesterday ? 
_t4 		you took a ve:ry long nap with Daddy .
_t4 		you were sleeping with Daddy , you were just taking the longest nap in the whole world . 
_t4 		you were sleepy . 
_t4 		hot ?
_t4 		wheat . 
_t4 		the wheat is hot ? 
_t4 		I don't think so . 
_t4 		I don't think the wheat is hot . 
_t4 		I think it's co:ld . 
_t4 		cold . 
_t4 		mmmm .
_t4 		xxx . 
_t4 		yeah . 
_t4 		the umbrella . 
_t4 		she had an umbrella at her house . 
_t4 		and we played ball too , we played with the soccer 
_t4 		we played soccer at her house . 
_t4 		she had balls +... 
_t4 		and we kicked them . 
_t4 		with your feet . 
_t4 		that's quite right . 
_t4 		and then we said bye+bye . 
_t4 		because you started saying snack . 
_t4 		snack . 
_t4 		
_t4 		when we were at her house and we had to say bye+bye . 
_t4 		cause [: because] we didn't have our snacks with us , they were in the car , which was at the play+ground . 
_t4 		so we had to walk back to our car . 
_t4 		and then we got some snacks there . 
_t4 		then you had snacks in the car . 
_t4 		oh , that noise wasn't  car .
_t4 		xxx still be a few minutes before she comes . 
_t4 		but I heard a car too . 
_t4 		
_t4 		Daddy went to work . 
_t4 		Daddy went to his office . 
_t4 		bye+bye , Daddy . 
_t4 		yes , he has people at his office . 
_t4 		they like to see you . 
_t4 		yeah you say hi to the people when we visit Daddy at his office . 
_t4 		that's right . 
_t4 		they all say look at you , what a big girl , I can't believe how big she is . 
_t4 		oh , she's so beautiful . 
_t4 		that's what happens when we go to Daddy's office . 
_t4 		yeah people at his office . 
_t4 		Mommy's gonna put a little flax oil in this . 
_t4 		mmmm . 
_t4 		mmmm . 
_t4 		do you have wheat stuck to your hand ? 
_t4 		is the wheat stuck ? 
_t4 		she's +/.
_t4 		bye+bye Mommy ? 
_t4 		xxx is that a joke ? 
_t4 		xxx is that a joke ? 
_t4 		bye+bye Mommy . 
_t4 		yeah we said bye to Daddy .
_t4 		he went to the office . 
_t4 		bye+bye ? 
_t4 		does that mean I have_to go away ,  ?
_t4 		no , I don't wanna go away , I want to stay with my ba:by . 
_t4 		you mentioned  . 
_t4 		who's  sister ? 
_t4 		yes ,  , very good . 
_t4 		what did you eat at their farm ? 
_t4 		what did you eat ?
_t4 		strawberries , that's right .
_t4 		yeah , you ate +//.
_t4 		you ate strawberries . 
_t4 		they're all gone , the strawberries , yeah . 
_t4 		the wagon . 
_t4 		you went for a ride in the wagon there , too . 
_t4 		but those strawberries were really good . 
_t4 		xxx picked them off the strawberry plants that were on the ground . 
_t4 		and she gave them to Mommy and Mommy gave them to you and you ate them +... 
_t4 		for the first time and they were warm . 
_t4 		the strawberries were warm when we ate them . 
_t4 		they weren't cold . 
_t4 		mmmm , they were yummy . 
_t4 		yeah . 
_t4 		yummy strawberries . 
_t4 		I think we should go visit them again and maybe they'll give us more strawberries . 
_t4 		mmmm .
_t4 		xxx . 
_t4 		xxx and  . 
_t4 		mmmm . 
_t4 		they were both wearing hats that day , ya [: you] know ? 
_t4 		do you remember that ? 
_t4 		everybody was wearing a hat that day . 
_t4 		there's no hat on my head , where's my hat ? 
_t4 		you don't have a hat on either , we'll have_to look for a hat . 
_t4 		we'll put a hat on today .
_t4 		baby ? 
_t4 		baby hat ? 
_t4 		where ? 
_t4 		oh , are you gonna give that to me ? 
_t4 		okay , thanks .
_t4 		xxx  . 
_t4 		mmmm , this is a good breakfast .
_t4 		this is a good breakfast , now . 
_t4 		self ? 
_t4 		my baby eats by herself . 
_t4 		sort of . 
_t4 		mmmm . 
_t4 		oh , that was a piece of wheat . 
_t4 		it's on your mouth . 
_t4 		yeah . 
_t4 		I see it on your face . 
_t4 		messy . 
_t4 		you're getting messy .
_t4 		yeah , the baby in the book is very messy . 
_t4 		and then what happens ? 
_t4 		what happens when your face is messy ? 
_t4 		what happens when a baby's face is messy ?
_t4 		does somebody clea:n the baby up ? 
_t4 		clea:n the baby up . 
_t4 		clea:n the baby up . 
_t4 		are your hands stick(y) +/.
_t4 		more , you can have more .
_t4 		mmmm .
_t4 		yummy . 
_t4 		is it delicious ? 
_t4 		it's not ? 
_t4 		oh . 
_t4 		more ?
_t4 		would you like some toast ? 
_t4 		no ? 
_t4 		xxx this wheat is too hard . 
_t4 		mmmm . 
_t4 		would you like to try something new ? 
_t4 		new . 
_t4 		let's try something new . 
_t4 		new cookie ?
_t4 		well , it's not exactly a cookie . 
_t4 		but it's something else good . 
_t4 		new .
_t4 		it's new food .
_t4 		new food . 
_t4 		it's cream+cheese ,  .
_t4 		mmmm , you like cheese .
_t4 		this is a big piece , too , look at that big piece . 
_t4 		mmmm you +/.
_t4 		cheese . 
_t4 		
_t4 		you can eat it . 
_t4 		it's a little bit sticky , isn't it ?
_t4 		is that too big ? 
_t4 		let's cut off a little piece , you can have this piece . 
_t4 		mmmm . 
_t4 		is that for me ? 
_t4 		thank you . 
_t4 		mmmm , you have it . 
_t4 		you have that one . 
_t4 		you can have it .
_t4 		mmmm .
_t4 		mmmm . 
_t4 		
_t4 		mmmm . 
_t4 		it does taste like yogurt , it's a little bit sour , huh . 
_t4 		and salty , it's salty . 
_t4 		mmmm . 
_t4 		cream+cheese . 
_t4 		baby's eating cream+cheese . 
_t4 		mmmm , is it good ? 
_t4 		mmmm , I'll have it ,  . 
_t4 		mmmm . 
_t4 		you want more ?
_t4 		okay_a . 
_t4 		I'll put some more cream+cheese on this . 
_t4 		bread . 
_t4 		mmmm   . 
_t4 		xxx . 
_t4 		hey . 
_t4 		look at this . 
_t4 		it's a +//. 
_t4 		it's a line .
_t4 		
_t4 		mmmm , it could be good .
_t4 		it's a line , yeah . 
_t4 		I'm gonna eat it . 
_t4 		I have a line too ,  . 
_t4 		yum  .
_t4 		
_t4 		mmmm . 
_t4 		mmmm .
_t4 		the cheese is good , huh .
_t4 		you're not hungry anymore , huh ? 
_t4 		well , you did eat most of this . 
_t4 		oh , I hear  car . 
_t4 		mmmm . 
_t4 		it's cream+cheese .
_t4 		
_t4 		that's cream+cheese .
_t4 		that's yummy . 
_t4 		mmmm . 
_t4 		mmmm+hmmm , I heard her car come in .
_t4 		she's a little early , actually . 
_t4 		mmmm , here's more cream+cheese . 
_t4 		mmmm . 
_t4 		mmmm . 
_t4 		that's  . 
_t4 		whoa , the knife fell in my lap .
_t4 		hello: . 
_t4 		hello . 
_t4 		hi .
_t4 		how 
_t4 		xxx . 
_t4 		hi , good . 
_t4 		it's very warm out . 
_t4 		oh , really , I haven't been +... 
_t4 		out except to get the paper at six+thirty . 
_t4 		yeah it feels like (.) noon right now .
_t4 		oh , no .
_t4 		hi: . 
_t4 		you said  . 
_t4 		yes . 
_t4 		this morning she started saying  . 
_t4 		wow .
_t4 		she looks at me like I've been saying  all along . 
_t4 		yeah , right , what are you talking about ? 
_t4 		yummy yummy yummy ? 
_t4 		oh . 
_t4 		she's having cream+cheese for the first time .
_t4 		oh . 
_t4 		right ?
_t4 		yeah but you're kinda [: kind of] finished I think . 
_t4 		I think you're finished .
_t4 		how was your weekend ?
_t4 		it was , it was good . 
_t4 		I had a nice weekend . 
_t4 		
_t4 		just visit the library . 
_t4 		that's exciting ! 
_t4 		I had a quiet +/. 
