_t4 		Mommy's microphone .
_t4 		it's a blue one .
_t4 		it's a blue one .
_t4 		this one is a white one (.) white one .
_t4 		what ?
_t4 		oh white one yes that's a white one .
_t4 		she spilled the milk .
_t4 		what's that ?
_t4 		oh cookie okay .
_t4 		noisy trucky ?
_t4 		which truck was noisy ?
_t4 		whose truck was noisy ?
_t4 		okay .
_t4 		Dadaji Dadaji Dadaji Dadaji .
_t4 		what did you do ?
_t4 		what did you do ?
_t4 		yes .
_t4 		you sneezed .
_t4 		that's right .
_t4 		you sneezed .
_t4 		I'm putting away the yogurt so you can have some (.) later on .
_t4 		yogurty yogurt .
_t4 		you don't want more now do you ?
_t4 		you weren't eating it sweetie pie .
_t4 		what ?
_t4 		you want some cheese ?
_t4 		no (.) you don't know where it is ?
_t4 		I'll get you some cheese if you'll eat it .
_t4 		I'm looking for the cheese .
_t4 		hey here's some cheese .
_t4 		hey .
_t4 		hey .
_t4 		you like cheese huh ?
_t4 		you want to eat the cheese ?
_t4 		cheesy cheese it is cheesy cheese .
_t4 		okay .
_t4 		Dadaji Dadaji Dadaji .
_t4 		yes I'm cleaning .
_t4 		or are you talking about cleaning up after Dadaji ?
_t4 		did you throw the bucket ?
_t4 		I think we should make some bubble solution .
_t4 		yeah I think we should find the recipe and make some bubbles .
_t4 		where is my book ?
_t4 		that says how to make the bubbles ?
_t4 		where is it I can't find the book .
_t4 		I have_to look out here .
_t4 		here it is .
_t4 		alright let's find the bubble thing .
_t4 		thingy I said .
_t4 		the bubble thingy (.) alright .
_t4 		now +...
_t4 		we need +...
_t4 		a half a cup of tap water .
_t4 		oh more cheese I'm sorry .
_t4 		here's some cheese .
_t4 		you're being very patient while we do all these things .
_t4 		I'm running some water (.) it has to be just the right temperature .
_t4 		yes baby .
_t4 		many many many .
_t4 		room temperature .
_t4 		Mommy water .
_t4 		Naima ?
_t4 		Naima wants the water ?
_t4 		I'm making some bubbles here I have_to make the mixture .
_t4 		okay you can +//.
_t4 		more yogurt ?
_t4 		you've got some cheese right there .
_t4 		okay let's see here what do we got (.) half a cup of water .
_t4 		we need a tablespoon of joy .
_t4 		plus (.) a teaspoon of joy .
_t4 		oh you're thinking of  and  when I say  .
_t4 		those children might be there today but I don't know for sure .
_t4 		babies babies .
_t4 		half a teaspoon of vegetable oil .
_t4 		hope this doesn't ruin it .
_t4 		noisy who ?
_t4 		noisy man (.) who's a noisy man ?
_t4 		who's a noisy man ?
_t4 		let's see if this works before we do anything else .
_t4 		bucket down (.) hey .
_t4 		you know what these are heavy bubbles they float down very quickly .
_t4 		there's one +...
_t4 		hey .
_t4 		these are heavy bubbles .
_t4 		yeah heavy bubbles .
_t4 		you gonna catch them ?
_t4 		catch Naima .
_t4 		noisy bubbles .
_t4 		blowing bubbles .
_t4 		a blue one ?
_t4 		these bubbles just sink .
_t4 		there's one there's one there's one there's one .
_t4 		there's a whole bunch .
_t4 		I'm not so sure about that recipe .
_t4 		yeah I think I'm gonna make another batch .
_t4 		yeah Mommy's gonna make more bubbles right now .
_t4 		without the oil .
_t4 		there's some in the sky (.) you wanna see them in the sky ?
_t4 		you wanna catch more bubbles ?
_t4 		okay there's half a cup of that .
_t4 		now we need +...
_t4 		oh my gosh that was way too much .
_t4 		I don't know what I was thinking .
_t4 		Mommy made a big mistake .
_t4 		we don't need half a cup of joy we need half a cup of water .
_t4 		xxx and  they might be there today .
_t4 		yeah you'd like to say hi to them wouldn't you ?
_t4 		xxx  .
_t4 		yeah there'll be books at the library and I bet  will read some books too .
_t4 		hand (.) with her hand ?
_t4 		you need to get cleaned up again I think .
_t4 		I think so .
_t4 		yes I said clean .
_t4 		let's try this now .
_t4 		see if this is better .
_t4 		yes well they're not as heavy without the oil .
_t4 		here come the bubbles .
_t4 		popping bubbles I like popping bubbles .
_t4 		many bubbles .
_t4 		yeah I'm gonna make more in just a minute I have_to clean up just a little more here .
_t4 		xxx  .
_t4 		hey are you finished with the cheese ?
_t4 		you have a nice big bucket .
_t4 		that's a big bucket isn't it ?
_t4 		that is one big bucket .
_t4 		okay I'm gonna put this in here .
_t4 		xxx .
_t4 		xxx  .
_t4 		Eli who is Eli ?
_t4 		cousin  ?
_t4 		hi cousin  .
_t4 		bubbles (.) Mommy bubbles .
_t4 		did you play bubbles when you saw her ?
_t4 		did you play with the bubbles did she blow some bubbles for you ?
_t4 		I bet she did .
_t4 		more cheese okay .
_t4 		cheesy cheesy baby .
_t4 		you're such a cheesy baby .
_t4 		yeah .
_t4 		a big piece of cheese ?
_t4 		is that a big piece of cheese ?
_t4 		Mommy's gonna clean up the tray now .
_t4 		up (.) you wanna get up ?
_t4 		does that mean you're done ?
_t4 		done with the cheese and everything ?
_t4 		yes I made a noise .
_t4 		I did I did .
_t4 		noisy Mommy .
_t4 		Mommy's [: Mommy is] a noisy Mommy .
_t4 		are you spitting out the cheese ?
_t4 		okay .
_t4 		okay .
_t4 		ready to play now ?
_t4 		are you ready to play ?
_t4 		are you chewing on your toes ?
_t4 		are they good ?
_t4 		let's get that cheese off of your chin .
_t4 		why are you eating your toes ?
_t4 		are they good ?
_t4 		are those delicious toes ?
_t4 		I think my baby has delicious toes .
_t4 		okay time to clean you .
_t4 		did you see an ant ?
_t4 		did you see an ant ?
_t4 		home  the ant went home ?
_t4 		oh ant went home to her house ?
_t4 		mouse (.) house I said .
_t4 		house .
_t4 		this is a very dirty strap here .
_t4 		oh squeak yes mice say squeak .
_t4 		mice say squeak .
_t4 		and cows say +//.
_t4 		yes .
_t4 		and sheep say +//.
_t4 		and three little pigs go +//.
_t4 		oink oink .
_t4 		yeah .
_t4 		yeah the camera's still on that's right .
_t4 		it's not making a beeping noise though (.)  it is it's flashing .
_t4 		boy (.) that light is flashing on and off like a truck goes  .
_t4 		beep   when it's backing up .
_t4 		boy .
_t4 		that's a great analogy .
_t4 		I never thought of that .
_t4 		bubbali   .
_t4 		are you ready to get out ?
_t4 		let's get the train .
_t4 		and the water .
_t4 		and put it here .
_t4 		okay let's hope that worked .
